команда,перевод
--enable-widevine,без описания
--enable-zero-copy,"Включите Rasterizer, который пишет непосредственно в память GPU, связанную с плитками."
--enabled,без описания
--encode-binary,"Кодируйте результаты бинарных веб -тестов (изображения, аудио) с использованием base64."
--encrypted-reporting-url,Определяет URL -адрес для загрузки зашифрованных отчетов.
--enforce,без описания
--enforce-gl-minimums,Обеспечение минимальных гл.
--enforce-webrtc-ip-permission-check,"Обеспечение IP -разрешения проверка. Todo (Guoweis): Удалите ее, как только функция не будет под зябцом, и станет дефолтом."
--enforce_strict,без описания
--ensure-forced-color-profile,"Сбой браузера при запуске, если профиль цвета дисплея не соответствует принужденному цветовому профилю. Это необходимо для Mac, потому что вывод пикселей Chrome всегда подвергается преобразованию цвета, выполняемой операционной системой. На всех остальных платформах это нет."
--enterprise-disable-arc,Отключает дуги для управляемых учетных записей.
--enterprise-enable-forced-re-enrollment,Сообщите ли принудительное переосмысление предприятия.
--enterprise-enable-initial-enrollment,Должно ли первоначальная регистрация предприятия.
--enterprise-enable-unified-state-determination,Строить ли определение государственного определения.
--enterprise-enable-zero-touch-enrollment,Включает поток регистрации в области корпоративных корпоративных предприятий.
--enterprise-enrollment-initial-modulus,"Мощность начального модуля Power-2, который будет использоваться клиентом автоматического оборота. Например. «4» означает, что модуль будет 2^4 = 16."
--enterprise-enrollment-modulus-limit,"Мощность максимального модуля мощности 2, который будет использоваться клиентом автоматического оборота."
--enterprise-force-manual-enrollment-in-test-builds,"Заставлять ручной зачисление вместо того, чтобы попробовать зачисление на основе сертификатов. Работает только на тестовых сборках."
--eol-ignore-profile-creation-time,"Не обращайте внимания на время создания профиля при определении того, показывать ли стимул уведомления об уведомлении о конец жизни. Это предназначено для облегчения ручного тестирования."
--eol-reset-dismissed-prefs,Сбросить уведомление об окончании жизни предотвращает их значение по умолчанию в начале сеанса пользователя. Это предназначено для облегчения ручного тестирования.
--evaluate-type,без описания
--evaluate_capability,без описания
--explicitly-allowed-ports,"Позволяет переопределить список ограниченных портов, пропустив отдельный список номеров портов."
--export-uma-logs-to-file,"Включает наблюдение всех журналов UMA, созданных во время сеанса, и автоматически экспортирует их в пройденную путь файла при выключении (файл создается, если его еще не существует). Это также позволяет просматривать все журналы UMA на странице отладки Chrome: // Metrics-Internals. Формат экспортируемого файла изложен в MetricsServiceObserver :: ExportLogsasjson (). Пример использования:-export-uma-logs-to-file =/tmp/logs.json"
--expose-internals-for-testing,"Раскрывает window.internals объект JavaScript для интерактивной разработки и отладки веб -тестов, которые на него полагаются."
--extension-apps-block-for-app-service-in-ash,"Если установлено, он проходит идентификаторы приложений для расширения, заблокированных для службы приложений в пепе, когда включено лакрос. Идентификаторы разделены «». Это должно использовать только для тестирования."
--extension-apps-run-in-ash-and-lacros,"Если установлено, он проходит идентификаторы дополнительных приложений для расширения, разрешенных в пепе и лакросе, когда есть лакросы. Идентификаторы разделены «». Это должно использовать только для тестирования. ПРИМЕЧАНИЕ. Идентификаторы, передаваемые этому переключателю, и идентификаторы, переданные в KextensionAppsruninashonly, должны быть взаимоисключающими, то есть без перекрытий. Если какое -либо приложение для расширения, переданное на этот переключатель, будет опубликовано в службу приложений, оно должно быть указано в одном из переключателей блоков сервисов приложений, чтобы оно не было опубликовано в службу приложений как в золе, так и в лакросе. В настоящее время у нас есть только использование приложения для расширения, работающего как в золе, так и в лакросе, которое будет опубликовано в службу приложений только в лакросе, поэтому мы только добавляем переключатель kextensionAppsblockforappserviceinash."
--extension-apps-run-in-ash-only,"Если установлено, он передает идентификаторы дополнительных приложений для расширения, которые разрешены в пепел только при включении лакроса. Идентификаторы разделены «». Это должно использовать только для тестирования."
--extension-content-verification,"Имя флага командной строки, чтобы заставить проверку контента быть включенным в одном из различных режимов."
--extension-install-event-chrome-log-for-tests,Запись по расширению событий для журнала Chrome для тестирования интеграции.
--extension-process,Знает рендерера в качестве процесса расширения.
--extension-updater-test-request,без описания
--extensions-install-verification,"Включите проверку установки расширения, если бы она не была включена."
--extensions-not-webstore,"Определяет разделенную запятую список идентификаторов расширения, которые должны быть вынуждены рассматриваться как не из веб-магазина при выполнении проверки установки."
--extensions-on-chrome-urls,"Включает расширения, использующие сценарии на Chrome: // urls. Расширения по -прежнему должны явно запросить доступ к Chrome: // urls в манифесте."
--extensions-run-in-ash-and-lacros,"Если установлено, он проходит идентификаторы дополнительных расширений, разрешенных для работы как в золе, так и в лакросе, когда лакрос включен. Идентификаторы разделены «». Это должно использовать только для тестирования. ПРИМЕЧАНИЕ. Идентификаторы, передаваемые этому переключателю, и идентификаторы, переданные в Kextensionsruninashonlyly, должны быть взаимоисключающими, то есть без совпадений. Если какое -либо расширение, переданное на этот переключатель, должен быть опубликован в службу приложений, оно должно быть указано в одном из переключателей блоков сервисов приложений, чтобы оно не было опубликовано в службу приложений как в пепел, так и в лакросе. В настоящее время у нас нет никаких вариантов использования с расширением, работающим как в золе, так и в лакросе, которые будут опубликованы в службу приложений, поэтому мы не определили переключатель блока сервиса приложений для расширений."
--extensions-run-in-ash-only,"Если установлено, он проходит идентификаторы дополнительных расширений, разрешенных для запуска в золе только при включении лакроса. Идентификаторы разделены «». Это должно использовать только для тестирования."
--external-metrics-collection-interval,Интервал в секундах между чтением хрома внешних метрик от/var/lib/metrics/uma-events.
--extra-search-query-params,Дополнительные параметры запроса для вставки в поиск и мгновенные URL -адреса. Полезно для тестирования.
--extra-web-apps-dir,"Название подкаталога основного каталога внешних веб -приложений, из которого следует загрузить дополнительные веб -приложения. Используется для загрузки веб-приложений для конкретных устройств."
--fail-audio-stream-creation,"Приводит к тому, что Audiomanager не создает создания аудио -потоков. Используется при тестировании различных случаев сбоя."
--fake-arc-recommended-apps-for-testing,"Определяет количество рекомендуемых (поддельных) приложений ARC во время адаптации пользователя. Описания приложений генерируются локально, а не избираются с сервера. Ограничен только Chromeos-on-linux и тестовыми изображениями."
--fake-drivefs-launcher-chroot-path,"Абсолютный путь к Chroot Hosting the DriveFS для использования. Это используется только при работе на Linux, то есть когда isrunningOnchromeos () возвращает false."
--fake-drivefs-launcher-socket-path,"Относительный путь к розетку к коммуникации с фальшивой пусковой установкой DriveFS в Chroot, указанной KfakedRivefSlauncherChrootpath. Это используется только при работе на Linux, то есть когда isrunningOnchromeos () возвращает false."
--fake-oobe-configuration-file,Путь к конфигурации OOBE JSON (используется FakeObeConfigurationClient).
--fake-variations-channel,"Подделывает канал браузера в целях фильтрации вариаций. Это должно использоваться только для тестирования. Возможные значения - «стабильные», «бета», «dev» и «Canary». Это работает и для официальных сборки."
--false,"Значение, указывающее, является ли флаг из коммутатора командной строки ложным."
--feedback-server,Альтернативный сервер обратной связи для использования при отправке отзывов пользователей
--field-trial-handle,"Обработайте общий сегмент памяти, содержащий полевой испытательный состояние, которое должно быть разделено между процессами. Аргумент этого переключателя состоит из 4 сегментов, разделенных запятыми: 1. Идентификатор ручки с конкретной платформой для общей памяти в качестве строки. 2. Высокие 64 бита общего блока памяти Guid. 3. Низкие 64 бита общего блока памяти Guid. 4. Размер сегмента общей памяти в качестве строки."
--file-storage-server-upload-url,Определяет URL-адрес для связи с сервером хранения файлов (GO/Crosman-File-Server) для загрузки журнала и поддержки файлов пакетов.
--file-url-path-alias,"Определите корневой каталог псевдонима, который заменяется строкой замены в URL -адресах файлов. Формат - «/alias =/замена», который повернет файл: ///alias/some/path.html в файл: ///replacement/some/path.html."
--file_chooser,без описания
--finch-seed-expiration-age,"Продолжительность в считанные секунды, когда копия приложения из семян вариаций должна считаться свежим. Если семя приложения станет старше этого, будет запрошено новое семя у WebView's IvariationSseedServer."
--finch-seed-ignore-pending-download,"Служба WebView всегда планирует новую работу по загрузке семян, даже если кто -то уже находится на рассмотрении."
--finch-seed-min-download-period,"Минимальное количество времени за считанные секунды, когда служба WebView будет ждать между двумя вариантами загрузки семян с сервера вариаций."
--finch-seed-min-update-period,"Минимальное количество времени за считанные секунды, в течение которого встроенная реализация WebView будет ждать между двумя запросами на службу WebView для нового семени вариаций."
--finch-seed-no-charging-requirement,"Служба Webview всегда планирует новую работу загрузки семян, даже если устройство не заряжается. Обратите внимание, что этот переключатель может быть необходим для тестирования на эмуляторах Android, так как они не всегда считаются зарядкой."
--fingerprint-sensor-location,"Расположение датчика отпечатков пальцев указывает местоположение физического датчика. Значение представляет собой строку с возможными значениями: «Лево-левой питание», «Клавиатура-дно-левые», клавиатура-прайт »,« Право на клавиш-вершина »."
--first-exec-after-boot,"Перешел в Chrome в первый раз, когда он запускается после системных сапог. Не передается перезагрузку после выхода."
--flag-switches-begin,"Эти два флага добавляются вокруг переключателей вокруг: флаги добавляют в командную строку. Это полезно, чтобы увидеть, какие переключатели были добавлены примерно: флаги о: версии. Они не имеют никакого эффекта."
--flag-switches-end,без описания
--font-cache-shared-handle[1],DirectWrite Fontcache совместно используется браузером для рендеристов с использованием общей памяти. Этот переключатель позволяет нам передать ручку общей памяти на рендерера.
--font-render-hinting,"Устанавливает подсказку для подсказок при запуске без головы, влияет на рендеринг Skia и включено ли позиционирование подпикселя Glyph. Возможные значения: нет | незначительный | средний | Полный | Макс. По умолчанию: полная."
--force-app-mode,"Силы применения режима. Это скрывает определенные элементы пользовательского интерфейса и заставляет приложение быть установленным, если оно еще не было."
--force-assistant-onboarding,без описания
--force-browser-crash-on-gpu-crash,"Crash Chrome, если процесс графического процессора вылетает. Это должно заставить тест провалиться, когда процесс графического процессора неожиданно вылетает."
--force-browser-data-migration-for-testing,Сила пропустить или миграцию силы. Следует использовать только для тестирования.
--force-caption-style,Заставляет стиль заголовка для подписей WebVTT.
--force-color-profile,"Заставляйте все мониторы обращаться так, как если бы они имеют указанный цветовой профиль. Принимаемыми значениями являются «srgb» и «generic-rgb» (в настоящее время используется в тестах макета Mac) и «Color-spin-gamma24» (используется в тестах макета)."
--force-cryptohome-recovery-for-testing,Силы приносят токены для восстановления криптохома.
--force-dark-mode,"Силы темного режима в пользовательском интерфейсе для платформ, которые его поддерживают."
--force-dev-mode-highlighting,Стоит ли подчеркнуть расширения режима разработчика.
--force-device-ownership[10],"Заставляет устройство сообщать о том, что принадлежит предприятию. Это имитирует наличие владения сигнальным устройством приложения."
--force-device-scale-factor,Переопределяет коэффициент масштабирования устройства для пользовательского интерфейса браузера и содержимого.
--force-device-switcher-experience,"Включает опыт коммутатора устройства для сегмента, указанного в аргументе, например, ""Android."""
--force-devtools-available[3],"Силы разработчика Инструменты доступны, независимо от того, к чему представлены предприятия, которые занимаются политиками предприятия, разрабатывают и разработаны."
--force-disable-variation-ids,"Силы удаления идентификаторов вариации хрома из отправки в заголовке X-Client-Data, указанный как 64-разрядный кодированный список численных идентификаторов эксперимента. IDS, префиксированные символом «T», будут рассматриваться как идентификаторы вариации триггера."
--force-effective-connection-type,Оценка качества сети (NQE) для возврата конкретного эффективного типа соединения.
--force-enable-metrics-reporting,"Метрики сил отчетности будут включены. Не следует использовать для тестов, поскольку он будет отправлять данные на серверы."
--force-enable-night-mode[10],Заставляет ночной режим быть включенным.
--force-enable-stylus-tools,Включает инструменты стилуса рядом с областью состояния.
--force-fieldtrial-params,"Эта опция может использоваться для применения параметров полевых испытаний при тестировании изменений локально. Аргумент представляет собой список параметров (ключа, значение) пар, префиксированных ассоциированной (пробной, групповой) парой. Вы указываете список параметров для нескольких (пробных, групповых) пар с помощью запятой. Пример: «Испытание1.Group1: k1/v1/k2/v2, trial2.group2: k3/v3/k4/v4»."
--force-fieldtrials,"Эта опция может использоваться для принуждения полевых испытаний при тестировании изменений локально. Аргумент представляет собой список пар и значений, разделенных чертами. Если пробное имя префиксируется со звездочкой, это испытание начнет активироваться. Например, в следующем аргументе определяется два испытания, а второй активирован: «Googlenow/enable/*Materialdesignntp/default/». Этот параметр также может использоваться процессом браузера для отправки списка испытаний в процесс, не являющийся браузером используя тот же формат. См. Fieldtriallist :: CreateLialsFromString () в Field_trial.h для получения подробной информации."
--force-first-run,"Отображает первый опыт работы, когда браузер запускается, независимо от того, является ли это на самом деле первым заездом (это переопределяет Knofirstrun)."
--force-first-run-ui,Первонаправленные силы будут показаны для каждого входа в систему.
--force-gpu-mem-available-mb,"Устанавливает общее количество памяти, которое может быть выделено для ресурсов графических процессоров"
--force-gpu-mem-discardable-limit-mb,Устанавливает максимальную память графического процессора для использования для отброшенных кешей.
--force-happiness-tracking-system,Force позволяет системе отслеживания счастья для устройства. Это игнорирует проверку профиля пользователя и ограничения времени и показывает уведомление каждый раз для любого типа пользователя. Следует использовать только для тестирования.
--force-headless-for-tests,без описания
--force-high-contrast,"Выражает высококонтрастный режим на собственном рисунке пользовательского интерфейса, независимо от настройки системы. Обратите внимание, что это оказывает ограниченное влияние на окна: только цвета ауры будут переключаться на высокий контраст, а не другие цвета системы."
--force-hwid-check-result-for-test,"Проверка идентификатора аппаратного обеспечения (происходит во время OOBE), чтобы провалиться или добиться успеха. Возможные значения: «неудача» или «успех». Следует использовать только для тестирования."
--force-launch-browser,Силы Fullrestoreservice для запуска браузера для тестов на телеметрию.
--force-login-manager-in-tests,"Обычно в тестах браузера обычное управление входом в систему пропускается, чтобы тесты могли изменить его воспитание. Этот флаг отключает это."
--force-max-texture-size,Устанавливает максимальный размер текстуры в пикселях.
--force-media-resolution-height,"При наличии настоящего переопределения разрешения экрана, используемого API CandisPlayType, вместо использования значений, полученных из AvSettings."
--force-media-resolution-width,без описания
--force-msbb-setting-on-for-ukm,"Силы MSBB для записи UKM. Следует использовать только в сеансах браузера автоматизированного тестирования, в которых невозможно или нецелесообразно переключать настройку вручную."
--force-online-connection-state-for-indicator[10],Предотвратить отображение автономного индикатора.
--force-permission-policy-unload-default-enabled,"Если установлено, событие Unload не может быть отключено по умолчанию с помощью разрешений-политики."
--force-pnacl-subzero,Принудительное использование Subzero в качестве переводчика PNACL вместо LLC.
--force-prefers-reduced-motion,"Силы, желает ли пользователь уменьшить движение, независимо от настройки системы."
--force-presentation-receiver-for-testing,"Это заставляет страницы загружаться в качестве приемников презентации. Полезно для тестирования поведения, специфичного для приемников презентаций. Спецификация: https://www.w3.org/tr/presentation-api/interface-presentationReceiver"
--force-protected-video-output-buffers[8],"Силы защищены памяти для всех выходных видео буферов, сгенерированных Fuchsiavideodecoder, включая незашифрованные потоки. Игнорируется, если не указан-eNable-защищенные видео-буферы."
--force-raster-color-profile,"Force Rastering, чтобы пройти в указанном цветовом профиле. Принятые значения такие же, как и для приведенного выше случая kforcedisplaycolorprofile."
--force-renderer-accessibility,"Доступность рендеринга сил будет включать вместо того, чтобы включать его по требованию, когда обнаруживается считывателя экрана. Переключатель отключенного renderer-аккаунта переопределяет это, если присутствует. Этот переключатель имеет дополнительный параметр, который заставляет пакет Axmode. Три доступных настройки пакета: «базовые», «контроль формы» и «полная». Если аргумент пакета недействителен, то принудительный Axmode по умолчанию будет «завершить». Если аргумент пакета отсутствует, то начальный Axmode будет завершен по умолчанию, но разрешает изменения в Axmode во время выполнения."
--force-search-engine-choice-screen,"Force-enable, показывающий экран выбора поисковой системы для тестирования независимо от региона или выбора, уже был сделан."
--force-separate-egl-display-for-webgl-testing,Заставьте использование отдельного дисплея EGL для контекстов WebGL. Используется для тестирования путей с несколькими GPU на устройствах только с одним действительным графическим процессором.
--force-show-cursor,"Заставляет курсор показать, даже если мы имитируем события прикосновения. Обратите внимание, что изменения курсора заблокированы при использовании этого переключателя."
--force-show-release-track,"Заставьте пользовательский интерфейс «Выпуск трека», чтобы показать в системном подносе. Современно система, находящаяся на немностальном канале выпуска с включенной обратной связью."
--force-show-update-menu-badge[10],Заставляет значок меню «Обновление» показать.
--force-status-area-collapsible,Заставляет область состояния разрешать коллапс/расширяться независимо от текущего состояния.
--force-tablet-mode,"Включает необходимые вещи для выбранного режима пользовательского интерфейса, независимо от того, находится ли Chromebook в настоящее время в выбранном режиме пользовательского интерфейса."
--force-tablet-power-button,"Если установлено, используется поведение кнопки питания, похожая на планшет (то есть нажатие на кнопку выключает экран), даже если устройство находится в режиме ноутбука."
--force-text-direction,Заставьте текст рендеринг в определенном направлении. Допустимыми значениями являются «LTR» (слева направо) и «RTL» (с правого налеги). Только тестируется осмысленно с RTL.
--force-ui-direction,Принуждайте пользовательский интерфейс в определенном направлении. Допустимыми значениями являются «LTR» (слева направо) и «RTL» (с правого налеги).
--force-update-menu-type[10],Заставляет тип меню обновления определенным типом.
--force-update-remote-url,"Настройка настройки для обычного URL-адреса пользовательского интерфейса, также используемого при тестировании."
--force-variation-ids,"Выражает дополнительные идентификаторы вариации хрома, которые будут отправлены в заголовке X-Client-Data, указанный как 64-битный кодированный список численных идентификаторов эксперимента. IDS, префиксированные символом «T», будут рассматриваться как идентификаторы вариации триггера."
--force-video-overlays,Force Media Player использует SurfaceView вместо Surfacetexture на Android.
--force-wave-audio[1],"Используйте Windows Waveout/в Audio API, даже если поддерживается основной аудио."
--force-webgpu-compat,Заставляйте все контент WebGPU работать в режиме совместимости WebGPU.
--force-webrtc-ip-handling-policy,"Переопределить политику обработки IP WEBRTC, чтобы имитировать поведение, когда политика обработки IP WEBRTC указана в предпочтениях."
--force-webxr-runtime,"Насильственно включите и выберите указанное время выполнения для Webxr. Обратите внимание, что это обеспечивает альтернативные средства обеспечения времени выполнения, а также будет функционально отключить все другие время забега."
--force-whats-new,"Отображает новый опыт, когда браузер запускается, если он еще не был показан для текущей вехи (это переопределяет Knofirstrun, не показывая первого опыта пробега)."
--form-factor,"Указывает форм -фактор устройства. Если предоставлен, этот флаг переопределяет значение из информации о выпуске LSB. Возможные значения: «Хромебаза», «хромебит», «Chromebook», «Ссылка», «Chromebox»"
--frame-throttle-fps,Устанавливает FPS дроссельной заслонки для подчинения кадра композитора.
--full-memory-crash-report,Генерирует полную сбою памяти.
--gaia-config,без описания
--gaia-config-contents,без описания
--gaia-url,без описания
--gamepad-polling-interval,"Переопределяет интервал опроса геймпада. Уменьшение интервала улучшает задержку ввода кнопок и оси, но может негативно повлиять на производительность из -за большего времени ЦП, проведенного в входном поток опроса."
--gcm-checkin-url,"Устанавливает конечную точку службы Checkin, которая будет использоваться для выполнения проверки обмена облачными сообщениями Google."
--gcm-mcs-endpoint,"Устанавливает конечную точку сервера мобильных соединений, которая будет использоваться для Google Cloud Message."
--gcm-registration-url,"Устанавливает конечную точку регистрации, которая будет использоваться для создания новых регистраций обмена облачными сообщениями Google."
--generate-accessibility-test-expectations,без описания
--get-access-token-for-test,"Включите API ATOTEST API GetAccessToken, который создает токены доступа, используя внутренний идентификатор клиента OAuth."
--gl,без описания
--gl-egl,без описания
--gl-null,без описания
--gl-shader-interm-output,Включите вывод промежуточного представления Angle (AST) в журналы информации об компиляции шейдеров.
--gles,без описания
--gles-egl,без описания
--gles-null,без описания
--google-api-key,без описания
--google-apis-url,без описания
--google-base-url,Определяет альтернативный URL для использования для разговора с Google. Полезно для тестирования.
--google-doodle-url,"Переопределяет URL, используемый для получения текущего Google Doodle. Пример: https://www.google.com/async/ddljson тестирование? Попробуйте: https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android0.json https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android1.json https://www.gstatic.com/android1.json https://www.gstetatic. chrome/ntp/doodle_test/ddljson_android2.json https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android3.json https://www.gstatic.com/chrome/ntp/doodle_test/ddljson."
--google-url,без описания
--gpu,без описания
--gpu-blocklist-test-group,Выберите другой набор записей BlackList GPU с указанным идентификатором test_group.
--gpu-device-id,Передает идентификатор Active Graphics Device от процесса браузера в процесс коллекции информации.
--gpu-disk-cache-size-kb,Позволяет четко указать размер кэша диска шейдера для встроенных устройств. Значение по умолчанию составляет 6 МБ. На Android 2 МБ по умолчанию и 128 КБ для низкоклассных устройств.
--gpu-driver-bug-list-test-group,Включите дополнительный набор записей списка ошибок GPU с указанным идентификатором test_group. Примечание. Тестовая группа по умолчанию (группа 0) все еще активна.
--gpu-driver-version,Передает версию Active Graphics Driver от процесса браузера в процесс коллекции информации.
--gpu-launcher,Дополнительные параметры командной строки для запуска процесса GPU (обычно используются для отладки). Используйте как renderer-cmd-prefix.
--gpu-no-context-lost,"Информируйте Chrome, что контекст графического процессора не будет потерян в режиме сохранения питания, режима экрана и т. Д. Обратите внимание, что этот флаг не гарантирует, что контекст GPU никогда не будет потерян в каких -либо ситуациях, скажем, сброс графического процессора."
--gpu-preferences,Передает закодированные GPupreferences в процесс GPU.
--gpu-process,без описания
--gpu-program-cache-size-kb,"Устанавливает максимальный размер кэша программы GPU в памяти, в KB"
--gpu-rasterization-msaa-sample-count,"Количество образцов антиалиазии мультисмер для графического процессора. Требует поддержки MSAA на GPU, чтобы оказать влияние. 0 отключает MSAA."
--gpu-revision,Передает информацию о пересмотре Active Graphics от процесса браузера в процесс коллекции информации.
--gpu-sandbox-allow-sysv-shm,Разрешает системный вызов shmat () в песочнице графического процессора.
--gpu-sandbox-failures-fatal,Делает сбои с песочницей графического процессора смертельными.
--gpu-sandbox-start-early,Запускает песочницу GPU перед созданием контекста GL.
--gpu-startup-dialog,"Приводит к тому, что процесс GPU отображает диалог при запуске."
--gpu-sub-system-id,Передает идентификатор Active Graphics Sub System от процесса браузера в процесс коллекции информации.
--gpu-vendor-id,Передает идентификатор поставщика Active Graphics от процесса браузера в процесс коллекции информации GPU.
--gpu-watchdog-timeout-seconds,Переопределить значение для тайм -аута GPU в считанные секунды.
--gpu2-startup-dialog[1],"Вызывает второй процесс GPU, используемый для коллекции информации GPU для отображения диалога при запуске."
--graphics-buffer-count,без описания
--growth-campaigns-path,Путь для загрузки кампаний по росту для тестирования (вместо загрузки из Омахи).
--guest[23],"Приводит к тому, что браузер запускается непосредственно в гостевом режиме."
